animal;category;hint
lion;mammal;A large carnivorous cat with a golden mane found in African savannas
elephant;mammal;A massive herbivorous mammal with a long trunk and tusks, native to Africa and Asia
bear;mammal;A powerful omnivorous mammal with thick fur
cheetah;mammal;A sleek and fast feline known for its spotted coat and exceptional speed
giraffe;mammal;A tall, long-necked herbivore
wolf;mammal;A social carnivorous mammal with a bushy tail, known for its howling calls
orangutan;mammal;A large, long-armed ape native to Southeast Asia, characterized by reddish-brown fur
dolphin;mammal;A highly intelligent marine mammal known for its playful behavior and streamlined body
koala;mammal;A small, tree-dwelling marsupial with gray fur and distinctive large ears, native to Australia
tiger;mammal;A fearsome big cat with striking orange and black stripes found in Asian forests
antelope;mammal;a swift-running deerlike ruminant
baboon;mammal;a type of large monkey, found in Africa and Asia, with a long, pointed face like a dog and large teeth
badger;mammal;a heavily built omnivorous nocturnal mammal of the weasel family, typically having a grey and black coat
bat;mammal;a small animal like a mouse with wings
beaver;mammal;a furry animal with a big flat tail and large teeth, builds dams in rivers
boar;mammal;a tusked Eurasian wild pig from which domestic pigs are descended
camel;mammal;a large animal with a long neck, that lives in the desert and has one or two humps
cat;mammal;the only domesticated species in the family Felidae
chimpanzee;mammal; an anthropoid ape of equatorial Africa
deer;mammal;a large wild animal that eats grass and leaves. A male usually has large, branching horns
dodo;bird;an extinct flightless bird that was endemic to the island of Mauritius
donkey;mammal; a four-legged domesticated farm animal with hooves that's related to the horse
fox;mammal;a wild mammal belonging to the dog family with a wide tail covered in fur, and often reddish-brown fur
goat;mammal;an animal related to sheep that usually has horns and a beard
alligator;reptile;A reptile similar to a crocodile but with a broader snout
ant;insect;A social insect forming colonies with a hierarchical structure and specialized roles
sheep;mammal;a farm animal with thick wool that eats grass and is kept for its wool, skin, and meat
chameleon;reptile;A colorful reptile with the ability to change its skin color for camouflage
cobra;reptile; A venomous snake known for its iconic hood and aggressive defensive behavior.
crab;fish and marine;a sea animal that has a hard shell, eight legs, and two large claws
cricket;insect;a leaping insect, distantly related to grasshoppers, the male of which makes a chirping sound
crocodile;reptile;A large, predatory reptile with a long snout and powerful jaws found in tropical waters
crow;bird;a large bird with black feathers and a loud unpleasant call
