назва;катэгорыя;падказка
авечка;звяры;свойская жвачная жывёліна, якая дае воўну, мяса, малако
алень;звяры;дзікая жвачная жывёліна атрада парнакапытных з галінастымі рагамі і кароткім хвастом
бабёр;звяры;паўводны звер-грызун, які жыве каля рэк і іншых вадаёмаў і мае каштоўнае футра
барсук;звяры;лясны драпежнік сямейства куніцавых з вострай мордай і доўгай грубай шэрсцю, жыве ў норах
вавёрка;звяры;невялікі звярок, які жыве ў дуплах дрэў і харчуецца арэхамі, грыбамі
вожык;звяры;невялікі звярок, спіна і бакі якога пакрытыя доўгімі вострымі іголкамі
воўк;звяры;дзікая драпежная жывёліна сямейства сабачых
выдра;звяры;драпежная жывёліна з каштоўным футрам цёмна-бурага колеру, вядзе паўводны спосаб жыцця
заяц;звяры;невялікі звярок з доўгімі заднімі нагамі, доўгімі вушамі і кароткім хвастом
зубр;звяры;дзікая буйная рагатая жывёліна
кажан;звяры;начная жывёліна з шырокімі перапончатымі крыламі
каза;звяры;невялікая свойская і дзікая парнакапытная жвачная жывёліна
карова;звяры;буйная рагатая свойская жывёла, якая дае малако
конь;звяры;буйная свойская аднакапытная жывёліна, можа перавозіць людзей і грузы
кот;звяры;свойская жывёліна са звычкамі драпежніка, ловіць птушак і мышэй
крот;звяры;невялікая млекакормячая жывёліна, прыстасаваная для жыцця пад зямлёй
куніца;звяры;невялікая драпежная жывёліна з каштоўным футрам, якая жыве ў лесе
ласка;звяры;невялікая драпежная жывёліна сямейства куніцавых
ліса;звяры;драпежная жывёліна з вострай мордай і доўгім пушыстым хвастом
лось;звяры;буйная жвачная жывёліна з шырокімі лапатападобнымі рагамі ў самцоў
мыш;звяры;невялікі грызун, звычайна шэрага колеру, з вострай мордачкай і доўгім тонкім хвастом
мядзведзь;звяры;вялікая драпежная жывёліна з густой поўсцю і тоўстымі нагамі
пацук;звяры;жывёліна сямейства мышападобных, большая за мыш, з доўгім хвастом
сабака;звяры;свойская жывёліна, прыручаны падвід ваўка звычайнага
свіння;звяры;свойская і дзікая жывёліна, мяса і сала якой выкарыстоўваецца ў ежу
